# name	x	y	plane	requirement	argument
AL_KHARID	3270	3167	0	none	
ALDARIN	1398	2927	0	finished	CHILDREN_OF_THE_SUN
ANCIENT_PRISON	2904	5205	0	finished	THE_FROZEN_DOOR
ARCEUUS	1635	3746	0	none	
ARDOUGNE_NORTH	2617	3333	0	none	
ARDOUGNE_SOUTH	2653	3282	0	none	
AUBURNVALE	1413	3353	0	finished	CHILDREN_OF_THE_SUN
BARBARIAN_OUTPOST	2536	3573	0	none	
BLAST_FURNACE	1948	4957	0	none	
BURGH_DE_ROTT	3497	3211	0	quest_or_bit_gt	IN_AID_OF_THE_MYREQUE:1990:190
CANIFIS	3512	3479	0	finished	PRIEST_IN_PERIL
CASTLE_WARS	2442	3084	0	none	
CATHERBY	2809	3440	0	none	
CIVITAS_ILLA_FORTIS_EAST	1779	3095	0	finished	CHILDREN_OF_THE_SUN
CIVITAS_ILLA_FORTIS_WEST	1647	3116	0	finished	CHILDREN_OF_THE_SUN
CORSAIR_COVE	2570	2863	0	finished	THE_CORSAIR_CURSE
DRAYNOR	3093	3243	0	none	
DUEL_ARENA	3382	3268	0	none	
EDGEVILLE	3093	3491	0	none	
ETCETERIA	2618	3895	0	none	
FALADOR_EAST	3013	3356	0	none	
FALADOR_WEST	2946	3370	0	none	
FARMING_GUILD	1253	3741	0	level	FARMING:45
FEROX_ENCLAVE	3130	3631	0	none	
FISHING_GUILD	2588	3419	0	level	FISHING:68
FOSSIL_ISLAND	3740	3803	0	bit_eq	5800:1
GIANTS_FOUNDRY	3375	11493	0	progress_ge	SLEEPING_GIANTS:25
GNOME_STRONGHOLD	2445	3423	1	none	
GOTR	3618	9473	0	finished	TEMPLE_OF_THE_EYE
GRAND_EXCHANGE	3165	3489	0	none	
GRAND_TREE	2449	3482	1	none	
HOSIDIUS	1749	3598	0	none	
HOSIDIUS_SHORE	1719	3465	0	none	
HOSIDIUS_KITCHEN	1678	3617	0	none	
HOSIDIUS_VINERY	1808	3566	0	none	
HOUSE_ON_THE_HILL_ISLAND	3765	3899	0	none	
HUNTER_GUILD	1543	3041	0	quest_and_level	CHILDREN_OF_THE_SUN:HUNTER:46
JATIZSO	2416	3800	0	finished	THE_FREMENNIK_TRIALS
KELDAGRIM	2838	10210	0	started	THE_GIANT_DWARF
KOUREND_CASTLE	1612	3681	2	none	
LANDS_END	1510	3420	0	none	
LLETYA	2351	3165	0	started	MOURNINGS_END_PART_I
LOVAKENGJ_SOUTH	1526	3739	0	none	
LOVAKENGJ_WEST	1437	3823	0	none	
LUMBRIDGE	3208	3218	2	none	
LUNAR_ISLAND	2100	3917	0	started	LUNAR_DIPLOMACY
MAGE_BANK	2534	4712	0	none	
MAGE_TRAINING_ARENA	3364	3318	1	none	
MINING_GUILD	3014	9718	0	level	MINING:60
MISTROCK	1382	2866	0	finished	CHILDREN_OF_THE_SUN
MIXOLOGY	1398	9313	0	level	HERBLORE:60
MOONCLAN_ISLE	2100	3918	0	started	LUNAR_DIPLOMACY
MOS_LEHARMLESS	3680	2982	0	started	CABIN_FEVER
MOUNT_KARUULM	1324	3824	0	none	
MOUNT_QUIDAMORTEM	1253	3571	0	none	
MYTHS_GUILD	2465	2848	1	finished	DRAGON_SLAYER_II
NARDAH	3429	2891	0	none	
NEITIZNOT	2336	3807	0	finished	THE_FREMENNIK_TRIALS
THE_PANDEMONIUM	3039	2999	0	progress_ge	PANDEMONIUM:20
PEST_CONTROL	2667	2653	0	none	
PISCATORIS	2330	3688	0	finished	SWAN_SONG
PORT_KHAZARD	2662	3161	0	none	
PORT_PHASMATYS	3688	3466	0	finished	PRIEST_IN_PERIL
PORT_PISCARILIUS	1803	3788	0	none	
ROGUES_DEN	3043	4972	1	none	
RUINS_OF_CAMDOZAAL	2978	5798	0	finished	BELOW_ICE_MOUNTAIN
RUINS_OF_UNKAH	3155	2835	0	near	3155:2835:0:15
SEERS	2726	3492	0	none	
SHANTAY_PASS	3303	3123	0	none	
SHAYZIEN	1489	3592	0	none	
SHAYZIEN_ENCAMPMENT	1486	3646	0	none	
SHILO_VILLAGE	2852	2955	0	finished	SHILO_VILLAGE
SOUL_WARS	2212	2860	0	none	
TAL_TEKLAN	1243	3121	0	finished	CHILDREN_OF_THE_SUN
TZHAAR	2446	5178	0	none	
TZHAAR_EAST	2543	5139	0	bit_gt	5646:0
VARROCK_EAST	3253	3421	0	none	
VARROCK_WEST	3183	3440	0	none	
VER_SINHAZA	3650	3210	0	finished	PRIEST_IN_PERIL
NORTH_PRIFDDINAS	3257	6107	0	finished	SONG_OF_THE_ELVES
